symbol,shares_outstanding
IP,529516974.0
IPG,
IQV,166900000.0
IR,391336834.0
IRM,297524681.0
ISRG,358278038.0
IT,66951889.0
ITW,287700000.0
IVZ,443296629.0
J,118080879.0
JBHT,93900000.0
JBL,104787089.0
JCI,610115603.0
JKHY,71050780.0
JNJ,2409898597.0
JPM,2658200000.0
K,
KDP,1360559471.0
KEY,1072035000.0
KEYS,170895368.0
KHC,1185777638.0
KIM,674389792.0
KKR,897872941.0
KLAC,1306275210.0
KMB,331940357.0
KMI,2224825757.0
KMX,141911096.0
KO,4302482418.0
KR,612647282.0
KVUE,1920008668.0
L,205768873.0
LDOS,125785466.0
LEN,210506003.0
LH,82000000.0
LHX,186294951.0
LII,34799968.0
LIN,462347310.0
LKQ,254790835.0
LLY,891741406.0
LMT,230790753.0
LNT,258277037.0
LOW,560707041.0
LRCX,1250571000.0
LULU,108437957.0
LUV,489208201.0
LVS,662637325.0
LW,137455441.0
LYB,322784773.0
LYV,232712799.0
MA,877036230.0
MAA,116384802.0
MAR,263688623.0
MAS,201734437.0
MCD,710505859.0
MCHP,543008370.0
MCK,117077745.0
MCO,173180984.0
MDLZ,1283649766.0
MDT,1280045190.0
MET,643436779.0
META,2196045588.0
MGM,255851235.0
MHK,60953145.0
MKC,254055150.0
MKTX,35539453.0
MLM,60045900.0
MMC,
MMM,515722417.0
MNST,978008110.0
MO,1669891235.0
MOH,52200000.0
MOS,317846644.0
MPC,291936635.0
MPWR,49130000.0
MRK,2469824415.0
MRNA,396786259.0
MS,1572000000.0
MSCI,72700000.0
MSFT,7428434704.0
MSI,165995582.0
MTB,144933000.0
MTCH,233266526.0
MTD,20207601.0
MU,1129393151.0
NCLH,459110140.0
NDAQ,558977372.0
NDSN,55717948.0
NEE,2085605358.0
NEM,1053692271.0
NFLX,4163939676.0
NI,479439245.0
NKE,1202110951.0
NOC,142063026.0
NOW,1033862000.0
NRG,210986470.0
NSC,224608373.0
NTAP,195919927.0
NTRS,122831734.0
NUE,227740950.0
NVDA,24221000000.0
NVR,2678153.0
NWS,180808088.0
NWSA,361099217.0
NXPI,252471079.0
O,932492530.0
ODFL,207968283.0
OKE,630032852.0
OMC,285006196.0
ON,389185602.0
ORCL,2880471000.0
ORLY,828715079.0
OTIS,380669339.0
OXY,994634701.0
PANW,815000000.0
PAYC,46627098.0
PAYX,355682860.0
PCAR,526286229.0
PCG,2680110496.0
PEG,498321402.0
PEP,1366000000.0
PFE,5699444169.0
PFG,216012384.0
PG,2328598978.0
PGR,581400000.0
PH,126086389.0
PHM,190486353.0
PKG,89098647.0
PLD,932338000.0
PLTR,2296071334.0
PM,1558558846.0
PNC,399000000.0
PNR,161605541.0
PNW,121187166.0
PODD,69264674.0
POOL,36443003.0
PPG,222900000.0
PPL,752350362.0
PRU,347325107.0
PSA,186745748.0
PSKY,1087672971.0
PSX,400935020.0
PTC,115505791.0
PWR,150060149.0
PYPL,882105493.0
QCOM,1054000000.0
RCL,268194978.0
REG,183096790.0
REGN,103021886.0
RF,853379538.0
RJF,192100000.0
RL,37635070.0
RMD,145056384.0
ROK,111273953.0
ROL,481145404.0
ROP,98900000.0
ROST,320781076.0
RSG,307664087.0
RTX,1347758144.0
RVTY,111559773.0
SBAC,106063017.0
SBUX,1139700000.0
SCHW,1739135507.0
SHW,246635621.0
SJM,106880690.0
SLB,1484000000.0
SMCI,646873027.0
SNA,51727124.0
SNPS,191479325.0
SO,1127301098.0
SOLV,173174712.0
SPG,324281912.0
SPGI,296000000.0
SRE,653707401.0
STE,97457680.0
STLD,144212781.0
STT,274702550.0
STX,226252116.0
STZ,170752511.0
SW,524464078.0
SWK,155455564.0
SWKS,150405963.0
SYF,325370840.0
SYK,383360762.0
SYY,478182608.0
T,6852385650.0
TAP,175215417.0
TDG,55933583.0
TDY,46329138.0
TECH,155810652.0
TEL,289940672.0
TER,156542162.0
TFC,1221626000.0
TGT,454191112.0
TJX,1104704446.0
TKO,74967673.0
TMO,371621465.0
TMUS,1072671613.0
TPL,68974429.0
TPR,202044714.0
TRGP,214643903.0
TRMB,233111519.0
TROW,214266606.0
TRV,208575022.0
TSCO,524449616.0
TSLA,3949547394.0
TSN,282120397.0
TT,221055477.0
TTD,426999732.0
TTWO,185666663.0
TXN,913092791.0
TXT,173888981.0
TYL,41140555.0
UAL,324569728.0
UBER,2035599013.0
UDR,324915653.0
UHS,53287606.0
ULTA,42989311.0
UNH,908144404.0
UNP,594075498.0
UPS,746581816.0
URI,62242489.0
USB,1557731728.0
V,1659709932.0
VICI,1101080187.0
VLO,296932782.0
VLTO,245599266.0
VMC,129754885.0
VRSK,131021840.0
VRSN,90400000.0
VRTX,253805417.0
VST,337182468.0
VTR,486169723.0
VTRS,1164552654.0
VZ,4175558910.0
WAB,168910851.0
WAT,98185855.0
WBD,2507136702.0
WDAY,201000000.0
WDC,344682131.0
WEC,325725678.0
WELL,705914450.0
WFC,3060189494.0
WM,401575752.0
WMB,1222998265.0
WMT,7958079155.0
WRB,371058000.0
WSM,117746611.0
WST,70375762.0
WTW,94447976.0
WY,721042609.0
WYNN,103786729.0
XEL,624269560.0
XOM,4144947162.0
XYL,237693493.0
XYZ,535195000.0
YUM,275621202.0
ZBH,193462482.0
ZBRA,47633392.0
ZTS,419228118.0
